ticket_id,customer_id,date_opened,issue_type,resolution_time_days,status
TCKT000001,CUST00992,2024-09-15,Account Locked,2,Unresolved
TCKT000002,CUST00644,2023-11-24,Login Issue,9,Unresolved
TCKT000003,CUST00925,2024-09-19,Login Issue,5,Resolved
TCKT000004,CUST00600,2023-11-30,Account Locked,3,Unresolved
TCKT000005,CUST00893,2024-11-01,Card Not Working,7,Pending
TCKT000006,CUST00570,2023-12-18,Account Locked,7,Resolved
TCKT000007,CUST00423,2025-02-28,Account Locked,8,Resolved
TCKT000008,CUST00131,2024-06-18,Account Locked,5,Unresolved
TCKT000009,CUST00497,2023-12-06,Login Issue,8,Resolved
TCKT000010,CUST00836,2024-03-13,Failed Transaction,4,Pending
TCKT000011,CUST00574,2025-06-07,Delayed Credit,1,Pending
TCKT000012,CUST00626,2024-07-30,Failed Transaction,7,Pending
TCKT000013,CUST00947,2025-05-29,Delayed Credit,3,Pending
TCKT000014,CUST00575,2024-08-03,Delayed Credit,4,Resolved
TCKT000015,CUST00017,2023-08-10,Failed Transaction,11,Resolved
TCKT000016,CUST00229,2024-05-24,Incorrect Charge,8,Resolved
TCKT000017,CUST00185,2024-10-31,Login Issue,6,Unresolved
TCKT000018,CUST00092,2023-07-30,Account Locked,14,Resolved
TCKT000019,CUST00373,2023-12-27,Account Locked,3,Pending
TCKT000020,CUST00391,2023-08-04,Login Issue,13,Unresolved
TCKT000021,CUST00443,2024-03-01,Failed Transaction,13,Unresolved
TCKT000022,CUST00801,2024-07-17,Card Not Working,8,Resolved
TCKT000023,CUST00124,2023-11-20,Account Locked,1,Unresolved
TCKT000024,CUST00670,2024-01-21,Failed Transaction,6,Unresolved
TCKT000025,CUST00342,2025-03-10,Card Not Working,12,Resolved
TCKT000026,CUST00868,2024-05-15,Incorrect Charge,15,Unresolved
TCKT000027,CUST00102,2024-06-15,Delayed Credit,12,Unresolved
TCKT000028,CUST00394,2024-03-19,Account Locked,15,Pending
TCKT000029,CUST00251,2025-01-08,Incorrect Charge,15,Resolved
TCKT000030,CUST00182,2025-01-24,Login Issue,13,Unresolved
TCKT000031,CUST00825,2024-02-28,Incorrect Charge,4,Pending
TCKT000032,CUST00175,2023-08-29,Login Issue,8,Unresolved
TCKT000033,CUST00685,2024-11-30,Delayed Credit,2,Unresolved
TCKT000034,CUST00428,2024-05-25,Login Issue,3,Pending
TCKT000035,CUST00290,2024-09-25,Card Not Working,11,Resolved
TCKT000036,CUST00416,2023-08-08,Card Not Working,12,Unresolved
TCKT000037,CUST00446,2025-03-31,Delayed Credit,7,Pending
TCKT000038,CUST00605,2024-08-28,Card Not Working,3,Resolved
TCKT000039,CUST00025,2025-07-04,Delayed Credit,10,Pending
TCKT000040,CUST00690,2023-09-18,Card Not Working,13,Pending
TCKT000041,CUST00171,2025-01-30,Failed Transaction,4,Unresolved
TCKT000042,CUST00885,2024-12-29,Delayed Credit,11,Resolved
TCKT000043,CUST00752,2024-09-05,Failed Transaction,13,Pending
TCKT000044,CUST00476,2024-05-19,Failed Transaction,11,Pending
TCKT000045,CUST00591,2025-05-11,Login Issue,12,Pending
TCKT000046,CUST00251,2024-11-10,Login Issue,1,Resolved
TCKT000047,CUST00119,2024-12-10,Incorrect Charge,11,Resolved
TCKT000048,CUST00034,2023-10-19,Card Not Working,15,Pending
TCKT000049,CUST00302,2024-12-22,Account Locked,4,Pending
TCKT000050,CUST00907,2023-11-21,Login Issue,13,Pending
TCKT000051,CUST00622,2024-07-24,Login Issue,13,Pending
TCKT000052,CUST00450,2024-06-26,Incorrect Charge,3,Pending
TCKT000053,CUST00844,2024-12-24,Login Issue,5,Pending
TCKT000054,CUST00783,2024-02-28,Login Issue,9,Pending
TCKT000055,CUST00400,2024-08-19,Card Not Working,14,Resolved
TCKT000056,CUST00327,2024-06-02,Login Issue,7,Resolved
TCKT000057,CUST00457,2024-05-21,Delayed Credit,7,Resolved
TCKT000058,CUST00144,2023-08-16,Incorrect Charge,10,Resolved
TCKT000059,CUST00682,2023-07-24,Account Locked,6,Unresolved
TCKT000060,CUST00635,2023-11-17,Delayed Credit,5,Resolved
TCKT000061,CUST00108,2024-07-26,Delayed Credit,6,Pending
TCKT000062,CUST00684,2024-04-28,Incorrect Charge,5,Pending
TCKT000063,CUST00682,2023-10-12,Incorrect Charge,11,Unresolved
TCKT000064,CUST00319,2025-05-18,Failed Transaction,5,Resolved
TCKT000065,CUST00403,2024-04-20,Card Not Working,4,Pending
TCKT000066,CUST00051,2025-04-25,Delayed Credit,4,Unresolved
TCKT000067,CUST00367,2024-10-12,Delayed Credit,1,Pending
TCKT000068,CUST00344,2023-07-25,Card Not Working,10,Unresolved
TCKT000069,CUST00200,2025-04-24,Account Locked,7,Resolved
TCKT000070,CUST00134,2023-10-24,Failed Transaction,6,Pending
TCKT000071,CUST00668,2024-05-20,Login Issue,3,Resolved
TCKT000072,CUST00424,2023-10-17,Login Issue,15,Pending
TCKT000073,CUST00898,2024-09-04,Account Locked,8,Unresolved
TCKT000074,CUST00012,2024-04-03,Delayed Credit,3,Pending
TCKT000075,CUST00975,2024-06-06,Incorrect Charge,2,Pending
TCKT000076,CUST00964,2023-09-10,Login Issue,12,Resolved
TCKT000077,CUST00369,2024-10-23,Incorrect Charge,7,Unresolved
TCKT000078,CUST00885,2024-06-25,Delayed Credit,4,Unresolved
TCKT000079,CUST00458,2025-03-26,Failed Transaction,3,Pending
TCKT000080,CUST00691,2023-12-31,Delayed Credit,10,Pending
TCKT000081,CUST00700,2025-01-17,Account Locked,15,Unresolved
TCKT000082,CUST00965,2024-10-09,Account Locked,11,Unresolved
TCKT000083,CUST00748,2024-04-10,Card Not Working,11,Pending
TCKT000084,CUST00949,2024-03-04,Delayed Credit,2,Pending
