transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,channels,currency
TXN000001,CUST00653,2022-12-10,Debit,669566.69,USSD,Euros
TXN000002,CUST00200,2025-06-04,Debit,969044.97,Web,Naira
TXN000003,CUST00482,2024-03-04,Debit,483106.68,USSD,Dollar
TXN000004,CUST00773,2023-08-02,Debit,220828.3,Apps,Euros
TXN000005,CUST00612,2024-06-10,Debit,645066.63,Web,Yen
TXN000006,CUST00853,2024-03-06,Credit,401972.68,USSD,Naira
TXN000007,CUST00188,2022-08-18,Debit,652359.34,USSD,Euros
TXN000008,CUST00725,2024-02-09,Debit,878382.33,Apps,Pounds
TXN000009,CUST00987,2022-12-16,Debit,953570.49,Web,Dollar
TXN000010,CUST00880,2025-03-28,Debit,149550.41,POS,Pounds
TXN000011,CUST00735,2022-11-16,Credit,895641.32,Apps,Euros
TXN000012,CUST00013,2024-02-14,Debit,2117.48,Apps,Yen
TXN000013,CUST00245,2022-10-24,Debit,479907.15,Web,Euros
TXN000014,CUST00251,2025-03-29,Debit,616569.23,POS,Naira
TXN000015,CUST00840,2022-08-07,Credit,323826.29,Web,Euros
TXN000016,CUST00682,2022-10-29,Debit,223132.42,USSD,Pounds
TXN000017,CUST00961,2023-10-02,Credit,873421.77,Cards,Naira
TXN000018,CUST00710,2025-03-28,Credit,549812.6,USSD,Yen
TXN000019,CUST00487,2024-11-29,Credit,456044.2,Cards,Pounds
TXN000020,CUST00029,2023-01-05,Debit,730397.3,Web,Pounds
TXN000021,CUST00405,2025-03-28,Debit,788501.58,USSD,Dollar
TXN000022,CUST00738,2023-04-09,Credit,602307.77,USSD,Pounds
TXN000023,CUST00905,2024-09-18,Credit,956135.15,Cards,Euros
TXN000024,CUST00930,2024-06-03,Credit,307498.48,POS,Yen
TXN000025,CUST00294,2023-03-06,Debit,587254.18,POS,Naira
TXN000026,CUST00277,2025-01-25,Debit,416990.61,USSD,Dollar
TXN000027,CUST00710,2023-02-02,Debit,29613.54,USSD,Pounds
TXN000028,CUST00068,2025-03-03,Debit,203076.43,Cards,Euros
TXN000029,CUST00206,2022-07-24,Credit,558109.32,USSD,Dollar
TXN000030,CUST00135,2025-03-08,Credit,603369.36,Cards,Dollar
TXN000031,CUST00899,2025-04-09,Debit,981366.43,USSD,Pounds
TXN000032,CUST00918,2023-09-05,Credit,201888.34,POS,Yen
TXN000033,CUST00243,2024-09-12,Debit,154044.66,USSD,Pounds
TXN000034,CUST00114,2025-03-12,Credit,732287.88,Apps,Naira
TXN000035,CUST00748,2023-03-31,Debit,102406.92,Cards,Naira
TXN000036,CUST00007,2023-11-17,Credit,737802.42,USSD,Pounds
TXN000037,CUST00442,2024-11-29,Credit,903127.27,USSD,Naira
TXN000038,CUST00810,2024-10-24,Credit,464623.59,Cards,Yen
TXN000039,CUST00151,2023-09-02,Credit,683066.1,Web,Naira
TXN000040,CUST00842,2024-08-29,Credit,891161.53,Web,Euros
TXN000041,CUST00397,2023-04-02,Credit,394596.25,Cards,Yen
TXN000042,CUST00524,2023-04-10,Debit,622174.1,POS,Euros
TXN000043,CUST00412,2024-03-26,Credit,4258.23,POS,Naira
TXN000044,CUST00579,2023-09-27,Debit,541600.85,POS,Dollar
TXN000045,CUST00381,2022-08-24,Debit,609858.36,Apps,Pounds
TXN000046,CUST00288,2024-10-07,Credit,513792.27,POS,Dollar
TXN000047,CUST00130,2023-09-28,Credit,842609.03,POS,Yen
TXN000048,CUST00961,2024-02-17,Credit,700368.62,Cards,Dollar
TXN000049,CUST00089,2024-02-15,Debit,800373.27,POS,Pounds
TXN000050,CUST00229,2024-12-26,Debit,288720.93,POS,Naira
TXN000051,CUST00691,2023-08-13,Debit,641780.75,USSD,Yen
TXN000052,CUST00946,2024-10-05,Debit,508666.43,POS,Pounds
TXN000053,CUST00999,2024-05-08,Credit,744815.8,POS,Pounds
TXN000054,CUST00847,2022-09-19,Debit,153868.43,Cards,Yen
TXN000055,CUST00615,2024-08-19,Debit,712555.7,POS,Naira
TXN000056,CUST00382,2023-07-12,Debit,701062.67,Apps,Naira
TXN000057,CUST00043,2023-01-29,Debit,234668.04,Cards,Euros
TXN000058,CUST00780,2023-09-18,Debit,115679.77,Cards,Dollar
TXN000059,CUST00722,2023-11-16,Credit,203869.23,Apps,Dollar
TXN000060,CUST00247,2024-03-15,Debit,839633.96,Apps,Pounds
TXN000061,CUST00422,2024-02-05,Credit,978508.37,POS,Pounds
TXN000062,CUST00689,2025-06-21,Credit,75577.38,Cards,Yen
TXN000063,CUST00600,2023-06-12,Debit,786910.97,POS,Naira
TXN000064,CUST00959,2022-12-01,Credit,822987.6,POS,Pounds
TXN000065,CUST00557,2023-02-15,Credit,373002.1,USSD,Euros
TXN000066,CUST00529,2024-12-26,Credit,653561.8,POS,Yen
TXN000067,CUST00613,2023-11-19,Credit,479029.8,POS,Euros
TXN000068,CUST00342,2024-04-12,Credit,18732.73,Apps,Euros
TXN000069,CUST00974,2024-06-06,Credit,906833.84,Apps,Euros
TXN000070,CUST00550,2023-03-24,Credit,215077.06,USSD,Naira
TXN000071,CUST00839,2022-11-21,Credit,892624.86,Apps,Naira
TXN000072,CUST00700,2023-08-28,Credit,916775.82,Web,Yen
TXN000073,CUST00225,2023-05-03,Debit,40802.27,Apps,Dollar
TXN000074,CUST00438,2023-10-14,Credit,730917.61,Cards,Pounds
TXN000075,CUST00073,2025-04-08,Credit,510290.69,Web,Dollar
TXN000076,CUST00331,2022-08-24,Credit,487978.69,USSD,Yen
TXN000077,CUST00669,2025-06-16,Debit,773756.78,Apps,Yen
TXN000078,CUST00474,2023-08-11,Debit,138999.04,Apps,Pounds
TXN000079,CUST00645,2024-12-10,Debit,821234.54,Cards,Pounds
TXN000080,CUST00951,2024-02-19,Debit,842320.34,Cards,Naira
TXN000081,CUST00435,2024-04-06,Debit,633105.44,POS,Dollar
TXN000082,CUST00004,2022-11-01,Credit,209011.68,Apps,Yen
TXN000083,CUST00854,2022-10-03,Debit,683596.17,POS,Dollar
TXN000084,CUST00482,2023-09-03,Debit,396567.4,POS,Yen
TXN000085,CUST00018,2022-09-17,Credit,352597.96,Apps,Yen
TXN000086,CUST00277,2024-06-09,Debit,900093.56,Apps,Yen
TXN000087,CUST00511,2024-10-29,Debit,900638.44,USSD,Pounds
TXN000088,CUST00713,2024-02-27,Debit,697280.12,Cards,Naira
TXN000089,CUST00561,2024-10-08,Debit,327980.3,USSD,Euros
TXN000090,CUST00154,2023-04-04,Debit,299986.03,POS,Yen
TXN000091,CUST00139,2024-04-14,Debit,388571.78,Apps,Yen
TXN000092,CUST00750,2023-11-26,Debit,432798.99,Apps,Dollar
TXN000093,CUST00195,2024-08-14,Debit,180975.59,POS,Euros
TXN000094,CUST00751,2024-07-09,Credit,74433.48,POS,Pounds
TXN000095,CUST00013,2024-03-02,Debit,85559.83,USSD,Pounds
TXN000096,CUST00730,2024-09-11,Credit,610739.05,Apps,Dollar
TXN000097,CUST00084,2024-08-18,Debit,884841.48,Apps,Euros
TXN000098,CUST00594,2022-09-28,Debit,325305.22,POS,Pounds
TXN000099,CUST00748,2024-12-25,Debit,886797.69,Web,Naira
TXN000100,CUST00182,2023-12-29,Debit,346438.6,USSD,Euros
TXN000101,CUST00053,2022-09-09,Debit,507655.21,Cards,Euros
TXN000102,CUST00283,2025-01-11,Credit,312850.16,Web,Pounds
TXN000103,CUST00329,2022-10-22,Debit,822616.82,Web,Pounds
TXN000104,CUST00679,2024-04-26,Credit,115666.81,USSD,Pounds
TXN000105,CUST00139,2023-07-14,Debit,667270.62,USSD,Pounds
TXN000106,CUST00441,2024-08-20,Debit,521098.11,Web,Pounds
TXN000107,CUST00049,2024-07-08,Debit,953922.25,USSD,Yen
TXN000108,CUST00349,2024-06-21,Credit,598583.05,USSD,Dollar
TXN000109,CUST00539,2024-08-30,Credit,529409.0,Apps,Naira
TXN000110,CUST00444,2025-05-12,Credit,109606.97,POS,Yen
TXN000111,CUST00245,2024-11-03,Credit,532561.12,POS,Dollar
TXN000112,CUST00369,2024-12-08,Credit,602413.9,Apps,Naira
TXN000113,CUST00179,2024-08-14,Credit,452633.25,POS,Pounds
TXN000114,CUST00237,2023-01-02,Credit,73682.27,Apps,Pounds
TXN000115,CUST00771,2024-05-04,Credit,193711.82,POS,Pounds
TXN000116,CUST00140,2023-09-22,Credit,281823.64,USSD,Pounds
TXN000117,CUST00041,2023-02-02,Credit,21500.97,Apps,Dollar
TXN000118,CUST00351,2023-08-28,Credit,909584.24,POS,Euros
TXN000119,CUST00524,2024-03-24,Debit,828778.02,Apps,Euros
TXN000120,CUST00573,2024-10-28,Credit,284563.99,USSD,Naira
TXN000121,CUST00989,2024-10-16,Credit,935860.75,Web,Yen
TXN000122,CUST00852,2024-10-30,Credit,143471.23,USSD,Euros
TXN000123,CUST00674,2023-10-12,Debit,689595.93,Apps,Pounds
TXN000124,CUST00607,2025-05-01,Credit,753043.79,Cards,Dollar
TXN000125,CUST00282,2022-10-14,Credit,443700.34,Web,Pounds
TXN000126,CUST00168,2024-09-09,Debit,138050.85,POS,Yen
TXN000127,CUST00362,2024-11-09,Debit,159730.49,Apps,Yen
TXN000128,CUST00379,2022-08-17,Debit,852666.87,Cards,Euros
TXN000129,CUST00591,2023-08-09,Credit,540450.69,Apps,Naira
TXN000130,CUST00145,2024-08-29,Credit,966802.52,Apps,Yen
TXN000131,CUST00511,2024-03-07,Debit,403133.59,Cards,Dollar
TXN000132,CUST00575,2023-06-24,Debit,663473.26,USSD,Naira
TXN000133,CUST00403,2022-10-03,Debit,110745.48,USSD,Naira
